ID,Name,MRP-Flag,Pastor,City,State,Zip,mrp_new,mrp_old,mrp_diff,mrp_perc_diff,cbf_new,cbf_old,cbf_diff,cbf_perc_diff,,
21296,Monument Heights Baptist Church,0,Randy C. Clipp,Richmond,VA,23226-1827,1917,0,1917,,0,0,0,,,
17650,Morningside Baptist Church,1,Earl Jones,Asheville,NC,28805-1735,643.21,717.2,-73.99,-0.10,385.92,430.32,-44.4,-0.10,,
184579,Mosaic of Clayton,0,Andrew R. Hale,Clayton,NC,27528-1291,585,345,240,0.70,325,250,75,0.30,,
38542,Mount Adar Baptist Church,1,Susan Pasour,Mebane,NC,27302-7517,900,900,0,0.00,3000,3000,0,0.00,,
21311,Mount Carmel Baptist Church,1,Barrett Freeman,Chapel Hill,NC,27517-9227,24589.74,29042.41,-4452.67,-0.15,8815.71,10412.02,-1596.31,-0.15,,
100761,Mount Gilead Baptist Church,0,Dan Robinson,Pittsboro,NC,27312-7433,0,0,0,,2176.16,2004,172.16,0.09,,
1063,Mount Hermon Baptist Church,0,Rich Goodier,Durham,NC,27705-8054,0,0,0,,7494.95,8126.39,-631.44,-0.08,,
1265,Mount Pisgah Baptist Church,1,Scot W. McCosh,Fayetteville,NC,28306-7913,1275,937.5,337.5,0.36,890,1396.25,-506.25,-0.36,,
89376,Mount Pleasant Baptist Church,1,,Liberty,NC,27298-8638,0,1010,-1010,-1.00,0,606,-606,-1.00,,
21325,Mount Vernon Baptist Church,0,Scott Courtney,Forest City,NC,28043-7730,0,0,0,,2499.96,2499.96,0,0.00,,
507,Mount Zion Alexis,0,,Alexis,NC,28006-0070,0,0,0,,1500,2000,-500,-0.25,,
149820,Mount Zion Clarkton,0,Merlin Boone,Clarkton,NC,28433-8251,0,0,0,,0,175,-175,-1.00,,
21336,Mountain Creek Baptist Church,0,Johnny Richards,Oxford,NC,27565-8237,161.45,0,161.45,,0,0,0,,,
1076,Mountain Grove Baptist Church,0,Stephen E. Loftis,Hickory,NC,28602-9209,0,0,0,,600,800,-200,-0.25,,
17367,Murfreesboro Baptist Church,1,,Murfreesboro,NC,27855-1440,4815.5,2593.75,2221.75,0.86,2889.3,1556.25,1333.05,0.86,,
21405,Neill's Creek Baptist Church,1,Christopher Turner,Angier,NC,27501-7063,3835.33,3356.34,478.99,0.14,3835.32,3356.34,478.98,0.14,,
16935,New Bessemer Baptist Church,0,,Mc Leansville,NC,27301-9737,0,0,0,,1029.17,949.98,79.19,0.08,,
21407,New Hope Gastonia,0,Brandon McKoy,Gastonia,NC,28056-6535,0,0,0,,21.6,85.53,-63.93,-0.75,,
17532,New Hope Raleigh,1,Alan R. Childress,Raleigh,NC,27604-4339,17230.4,10366.75,6863.65,0.66,9703.64,6012.71,3690.93,0.61,,
21455,New Hope Whiteville,1,Darrin Moore,Whiteville,NC,28472-8588,0,0,0,,0,550,-550,-1.00,,
192483,New Life Chinese Christian Church,0,Serena Lin,Kannapolis,NC,28081-3427,0,0,0,,900,950,-50,-0.05,,
97238,Nobles Chapel Baptist Church,0,,Sims,NC,27880-9791,0,0,0,,2400,2950,-550,-0.19,,
106127,North Brunswick Fellowship Church,0,Robert Norman,Leland,NC,28451-9516,295,250,45,0.18,0,168,-168,-1.00,,
15593,Northwest Baptist Church,1,Tony Brown,Winston Salem,NC,27106-3502,102.45,93.62,8.83,0.09,1824.01,1831.15,-7.14,-0.00,,
25313,Oak Ridge Baptist Church,0,Robert H. Culpepper,Kittrell,NC,27544-9025,0,0,0,,500,500,0,0.00,,
21600,Oakmont Baptist Church,1,Gregory P. Rogers,Greenville,NC,27858-5205,36499.95,35333.28,1166.67,0.03,37530.02,36635.72,894.3,0.02,,
30530,Oakwood Park Baptist Church,0,Tim Phaegin,Asheboro,NC,27203-5022,0,0,0,,300,200,100,0.50,,
16473,Olive Chapel Baptist Church,0,Paul Arnold,Apex,NC,27502-9585,0,0,0,,3762.47,3743.21,19.26,0.01,,
179145,Olyphic Baptist Church,1,,Tabor City,NC,28463-9042,1137.5,906.55,230.95,0.25,682.51,543.93,138.58,0.25,,
177235,Open Arms Fellowship,0,Al Sholar,Creedmoor,NC,27522-1012,0,0,0,,1200,1200,0,0.00,,
147,Oxford Baptist Church,0,Christopher R. Aho,Oxford,NC,27565-0398,200,0,200,,4952,4911.62,40.38,0.01,,
381,Parkwood Baptist Church,0,Daniel E. Pittman,High Point,NC,27265-8104,0,0,0,,100,0,100,,,
93486,Pauline Baptist Church,1,Robert Cooke,Four Oaks,NC,27524-9516,0,0,0,,1141.39,1365.86,-224.47,-0.16,,
21706,Peace Haven Baptist Church,0,Nathan Parrish,Winston Salem,NC,27106-5446,0,0,0,,1400,1400,0,0.00,,
151231,Pfafftown Baptist Church,1,Thomas Bounds,Pfafftown,NC,27040-0027,487.38,0,487.38,,457.63,0,457.63,,,
21760,Piney Grove Baptist Church,1,Mark A. Reece,Mount Airy,NC,27030-1022,0,2812.5,-2812.5,-1.00,2500,562.5,1937.5,3.44,,
21651,Poplar Springs Baptist Church,1,Andrew Oliver,Shelby,NC,28152-8071,10171.63,10282.3,-110.67,-0.01,6103,6169.43,-66.43,-0.01,,
178776,Primera Iglesia Bautista de Sanford,0,Pablo Hernandez,Sanford,NC,27332-6848,0,0,0,,0,100,-100,-1.00,,
17728,Pritchard Memorial Baptist Church,0,M. Bobby Morrow,Charlotte,NC,28203-4205,0,0,0,,3375,0,3375,,,
1055,Providence Charlotte,0,C. L. Canipe,Charlotte,NC,28211-4002,0,687.92,-687.92,-1.00,17325.5,11840.75,5484.75,0.46,,
97571,Providence Hendersonville,1,,Hendersonville,NC,28793-6476,0,0,0,,1750,1675,75,0.04,,
28043,Quaker Gap Baptist Church,0,John C. Darida,King,NC,27021-7669,0,0,0,,0,1046,-1046,-1.00,,
139597,Reynoldson Baptist Church,1,Cody Brinkley,Gates,NC,27937-9461,7354.95,7219.2,135.75,0.02,2138.31,2406.41,-268.1,-0.11,,
23305,Richfield Baptist Church,0,,Richfield,NC,28137-7637,0,0,0,,1500,1500,0,0.00,,
1018,Ridge Road Baptist Church,1,J. Randy Sherron,Raleigh,NC,27607-3145,700,700,0,0.00,1000,1000,0,0.00,,
21972,Roberts Chapel Baptist Church,1,James D. Crocker,Pendleton,NC,27862-0128,975,1625,-650,-0.40,450,750,-300,-0.40,,
176899,Rock Creek Baptist Church,1,,Nashville,NC,27856-9187,0,1000,-1000,-1.00,0,600,-600,-1.00,,
17153,Rocky River Baptist Church,0,Greg W. Burriss,Siler City,NC,27344-7245,0,0,0,,0.96,65.28,-64.32,-0.99,,
21992,Rolesville Baptist Church,0,Randy Bridges,Rolesville,NC,27571-0185,0,0,0,,1000,750,250,0.33,,
21996,Rose Hill Baptist Church,0,Michael Maragelis,Rose Hill,NC,28458-0459,0,0,0,,0,2200,-2200,-1.00,,
30700,Roseboro First Baptist Church,0,Worth H. Faircloth,Roseboro,NC,28382-7428,0,0,0,,1725,1293.75,431.25,0.33,,
17987,Rosemary Baptist Church,0,G. Layne Wallace,Roanoke Rapids,NC,27870-2617,0,0,0,,1450.02,1550,-99.98,-0.06,,
61914,Rosewood First Baptist Church,0,J. Michael Collier,Goldsboro,NC,27530-7405,0,0,0,,1240.31,1233.91,6.4,0.01,,
22011,Roxboro Baptist Church,1,DuPre Sanders,Roxboro,NC,27573-0348,7663.12,7293.22,369.9,0.05,14920.88,14507.6,413.28,0.03,,
22056,Samaria Baptist Church,0,Charles C. Johnson,Raleigh,NC,27610-2905,0,0,0,,1950,0,1950,,,
17802,Sardis Baptist Church,1,Bob Stillerman,Charlotte,NC,28270-5367,4131.3,4162.67,-31.3699999999999,-0.01,1271.23,1280.85,-9.62,-0.01,,
90107,Sawyers Creek Baptist Church,1,Kevin Buzzard,Camden,NC,27921-7509,1400,1400,0,0.00,840,840,0,0.00,,
38465,Sharon Baptist Church,1,Benjamin Wines,Smithfield,NC,27577-3202,3640.07,3147.09,492.98,0.16,2184.04,1888.23,295.81,0.16,,
95,Snyder Memorial Baptist Church,1,John J. Cook,Fayetteville,NC,28305-4553,59006.43,56797.04,2209.39,0.04,33124.44,31956.74,1167.7,0.04,,
1717,Southeast Baptist Church,1,Christopher Phelps,Greensboro,NC,27406-8619,1439.48,1325.1,114.38,0.09,863.72,795.1,68.62,0.09,,
41,Spencer Baptist Church,0,Bruce Caldwell,Spindale,NC,28160-1208,0,0,0,,583.93,186.57,397.36,2.13,,
22274,Spilman Memorial Baptist Church,0,Daniel B. Cromer,Kinston,NC,28501-2225,0,0,0,,14024.73,12450.47,1574.26,0.13,,
629,St. John's Charlotte,0,Dennis W. Foust,Charlotte,NC,28204-2434,0,0,0,,4185.01,4615,-429.99,-0.09,,
17339,St. John's Raleigh,1,Richard E. Wynne,Raleigh,NC,27608-2039,4920,3609.11,1310.89,0.36,1045,3186.49,-2141.49,-0.67,,
152048,Swift Creek Baptist Church,1,David Vess,Raleigh,NC,27606-9101,1899.73,1707.39,192.34,0.11,1139.85,1024.44,115.41,0.11,,
16472,Tabernacle Baptist Church,1,Dane Hadley,Raleigh,NC,27613-1001,5760.87,5746.84,14.0299999999997,0.00,3021.18,3120.84,-99.66,-0.03,,
1790,Tabor City Baptist Church,0,,Tabor City,NC,28463-0126,0,0,0,,0,810,-810,-1.00,,
2501,Temple Baptist Durham,1,Mark Mofield,Durham,NC,27712-2017,4820.63,3746.26,1074.37,0.29,6948.97,5400.31,1548.66,0.29,,
22417,Temple Baptist Raleigh,0,Michael Parnell,Raleigh,NC,27604-2010,0,0,0,,3360.75,643.93,2716.82,4.22,,
22415,Temple Baptist Wilmington,1,Mark E. Gaskins,Wilmington,NC,28403-1013,5541.3,5824,-282.7,-0.05,3324.8,3494.4,-169.6,-0.05,,
185223,The Fountain of Raleigh Fellowship,0,Paul L. Anderson,Raleigh,NC,27622-0362,0,0,0,,0,500,-500,-1.00,,
22383,The Memorial Baptist Church,1,Thomas B. Smith,Greenville,NC,27858-4743,3000,3000,0,0.00,1800,1800,0,0.00,,
151877,The Summit,0,,Sylva,NC,28779-2106,0,0,0,,0,200,-200,-1.00,,
40050,Triangle Baptist Church,0,Ronald B. Poythress,Raleigh,NC,27603-7868,0,0,0,,1235.35,1544.55,-309.2,-0.20,,
23272,Trinity Newton,1,Brant Hoots,Newton,NC,28658-0004,3500,2100,1400,0.67,5850,3510,2340,0.67,,
1825,Trinity Raleigh,1,G. Jeffery Roberts,Raleigh,NC,27609-5205,27469.23,31276.45,-3807.22,-0.12,52581.03,70519.64,-17938.61,-0.25,,
610,Union Cross Baptist Church,0,Kent Kern,Kernersville,NC,27284-9101,0,0,0,,2718.84,2653.01,65.83,0.02,,
37831,United Baptist Church,1,Will Watson,Winston Salem,NC,27106-9673,3434.25,3149,285.25,0.09,2060.55,1889.4,171.15,0.09,,
179182,Unity Christian Church International,0,Terry Henderson,Fayetteville,NC,28303,0,0,0,,2400,2400,0,0.00,,
15600,University Baptist Church,0,H. Mitchell Simpson,Chapel Hill,NC,27514-3606,0,0,0,,250,250,0,0.00,,
364,Viewmont Baptist Church,1,,Hickory,NC,28601-2661,3000,4498.29,-1498.29,-0.33,1800,2698.97,-898.97,-0.33,,
790,Wake Forest Baptist Church,1,William A. Slater,Wake Forest,NC,27587-2751,10144.8,9717.46,427.34,0.04,6000,5833.5,166.5,0.03,,
22653,Warrenton Baptist Church,0,C. Thomas Bodkin,Warrenton,NC,27589-1824,0,0,0,,1000,1000,0,0.00,,
740,Watts Street Baptist Church,0,Dorisanne Cooper,Durham,NC,27701-1533,0,300,-300,-1.00,1468,1575,-107,-0.07,,
2123,Wendell Baptist Church,0,Jeremy Evans,Wendell,NC,27591-0187,0,0,0,,1783,2909.42,-1126.42,-0.39,,
152325,West Side Baptist Church,0,Christa Warise,Winston Salem,NC,27103-5937,0,0,0,,1000,1000,0,0.00,,
22728,Westfield Baptist Church,0,Jeffrey L. Johnson,Dunn,NC,28334-3614,0,0,0,,2000,2439,-439,-0.18,,
2420,Westview Baptist Church,2,,Shelby,NC,28152-5147,0,0,0,,587.42,240.5,346.92,1.44,,
24316,Westwood Baptist Church,1,,Cary,NC,27513-5736,37284.82,24826.29,12458.53,0.50,16543.13,6767.65,9775.48,1.44,,
26997,White Oak Baptist Church,0,,Clayton,NC,27527-6922,0,0,0,,2792.32,3134.65,-342.33,-0.11,,
17679,Wilkesboro Baptist Church,0,Chris Hefner,Wilkesboro,NC,28697-0061,0,0,0,,8364.12,8559.96,-195.84,-0.02,,
16708,Wingate Baptist Church,1,J. Derrill Smith,Wingate,NC,28174-0339,2975,3350.22,-375.22,-0.11,6545,7021.17,-476.17,-0.07,,
636,Winter Park Baptist Church,1,,Wilmington,NC,28403-6915,21000,26837.5,-5837.5,-0.22,9000,11287.5,-2287.5,-0.20,,
102077,Winterville Baptist Church,1,L. Grant Carter,Winterville,NC,28590-1669,2531.19,2282.69,248.5,0.11,1518.7,1234.6,284.1,0.23,,
105637,Wise Baptist Church,1,Jonathan Shattuck,Wise,NC,27594-0038,2053.31,1590.63,462.68,0.29,1232,954.39,277.61,0.29,,
823,Woodhaven Baptist Church,1,David M. Stratton,Apex,NC,27539-8838,18074,19631.22,-1557.22,-0.08,13254.24,12011.26,1242.98,0.10,,
59079,Woodland Baptist Church,1,Tito Madrazo,Wake Forest,NC,27587-6006,11437.5,11750,-312.5,-0.03,6862.5,7050,-187.5,-0.03,,
22836,Yates Baptist Church,1,Christopher A. Ingram,Durham,NC,27707-2701,10071.68,10126.55,-54.869999999999,-0.01,4028.67,3990.63,38.04,0.01,,
17659,Youngsville Baptist Church,0,Charles D. Stratton,Youngsville,NC,27596-0297,0,0,0,,2000,1875,125,0.07,,
32,Zebulon Baptist Church,1,L. J. Glasgow,Zebulon,NC,27597-0366,600,600,0,0.00,22210.02,25901,-3690.98,-0.14,,
22906,Zion Baptist Church,0,Matthew L. Storie,Shelby,NC,28150-8623,0,0,0,,5000,1250,3750,3.00,,
,,,,,,Totals,1266561.78,1312779.03,-46217.25,-0.04,1225011.1,1302866.13,-77855.03,-0.06,,
